source,date,exchange,product,variety,grade,min_price_tlkg,max_price_tlkg,avg_price_tlkg,last_price_tlkg,volume_kg,transaction_count,transaction_value_tl,url
tobb,2005-06-02 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.89,6.35,6.32,,174.525,3.0,1103694.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-06-03 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.77,6.36,6.32,,85.017,3.0,537216.5,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-06-07 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.7,6.4,6.32,,135.6,2.0,857340.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-06-08 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.3,6.38,6.37,,146.45,2.0,932887.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-06-09 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.08,6.3,6.19,,28.46,2.0,176239.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-06-10 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.4,6.57,6.45,,286.86,4.0,1849047.5,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-06-13 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.31,6.5,6.38,,97.83,3.0,624075.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-06-14 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.99,6.35,6.21,,53.429,2.0,332005.01,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-06-15 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.3,6.3,6.3,,55.8,1.0,351540.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-06-16 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.27,6.3,6.28,,66.195,2.0,415376.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-06-17 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.25,6.35,6.31,,143.922,2.0,908385.78,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
