month,tur_usd,ulker_try,mdlz_usd,nestle_usd,barry_chf,hershey_usd,bunge_usd,cocoa_usd,dba_usd,tryusd
2007-02,,3.079622745513916,12.857183456420898,21.105497360229492,672.3805541992188,32.836585998535156,51.6580924987793,1720.0,22.455678939819336,1.406999945640564
2007-03,,3.1559786796569824,12.748457908630371,21.964635848999023,723.6097412109375,34.10093307495117,53.687686920166016,1953.0,20.9503173828125,1.3846999406814575
2007-04,,3.4677574634552,13.583678245544434,22.462038040161133,798.0518798828125,34.2880973815918,49.46944046020508,,20.667543411254883,1.3619999885559082
2007-05,,3.5632004737854004,13.733842849731445,22.519617080688477,801.2536010742188,32.88437271118164,51.01047134399414,1883.0,21.915081024169922,1.3109999895095825
2007-06,,3.6593234539031982,14.306086540222168,22.103654861450195,741.2195434570312,31.744388580322266,55.2996711730957,2054.0,21.9566650390625,1.3011000156402588
2007-07,,3.497406244277954,13.385443687438965,22.30007553100586,703.598388671875,28.90985107421875,59.298282623291016,,21.798643112182617,1.281999945640564
2007-08,,3.4650232791900635,13.103424072265625,25.23490333557129,698.3953247070312,29.160696029663086,59.84144592285156,1868.0,22.15627098083496,1.2949999570846558
2007-09,,3.4650232791900635,14.104772567749023,25.85884666442871,685.5881958007812,29.296133041381836,70.4594497680664,2036.0,24.534908294677734,1.2019000053405762
2007-10,,3.4002556800842285,13.769229888916016,26.690767288208008,744.021240234375,27.21302604675293,75.53491973876953,1945.0,24.34362030029297,1.1655000448226929
2007-11,,3.212432861328125,14.239062309265137,27.59201431274414,706.39990234375,25.193031311035156,73.66605377197266,1978.0,25.49135398864746,1.1727999448776245
2007-12,,3.0958523750305176,13.447770118713379,26.459678649902344,688.3897094726562,25.058149337768555,76.45305633544922,2035.0,27.437515258789062,1.1627999544143677
2008-01,,2.525904417037964,12.16280746459961,25.985944747924805,674.7820434570312,23.003890991210938,76.8602523803711,2326.0,31.200172424316406,1.1686999797821045
2008-02,,2.4481844902038574,12.952322959899902,27.499582290649414,717.4035034179688,23.582632064819336,72.79490661621094,2754.0,35.05485916137695,1.2173000574111938
2008-03,29.706478118896484,1.7227963209152222,12.885839462280273,28.920778274536133,689.73388671875,24.15187644958496,57.144569396972656,2321.0,30.744701385498047,1.3317999839782715
2008-04,34.17911148071289,1.878237009048462,13.25765323638916,27.73066520690918,619.156494140625,23.965944290161133,75.04168701171875,2882.0,30.871219635009766,1.2676000595092773
2008-05,33.47425842285156,1.6126925945281982,13.613926887512207,29.21922492980957,613.5422973632812,25.126415252685547,78.51457214355469,2723.0,29.816871643066406,1.2120000123977661
2008-06,29.05289077758789,1.7299035787582397,11.924759864807129,26.780336380004883,532.93994140625,21.186315536499023,70.93669128417969,,34.312599182128906,1.2231999635696411
2008-07,36.38338851928711,1.944465160369873,13.461638450622559,25.92790985107422,569.8325805664062,23.765117645263672,65.15975189208984,2858.0,30.77843475341797,1.1516000032424927
2008-08,33.390960693359375,2.078566312789917,13.330488204956055,26.170618057250977,580.6597290039062,23.325624465942383,58.86245346069336,2864.0,29.833742141723633,1.1900999546051025
